company_Name,promoters(%),FII(%),DII(%),govermnet(%),public(%),other(%),no_of_shareholders
Adani Enterprises Ltd,69.23,17.75,5.15,0.0,7.87,0.0,746605
Adani Ports & Special Economic Zone Ltd,61.03,17.99,13.02,0.0,7.95,0.0,1098596
Apollo Hospitals Enterprise Ltd,29.33,46.96,17.96,0.23,5.72,0.0,131937
Asian Paints Ltd,52.63,17.02,9.96,0.05,20.32,0.04,1082650
Axis Bank Ltd,8.16,49.05,32.01,0.0,10.79,0.0,846261
Bajaj Auto Ltd,54.99,12.35,10.79,0.07,21.79,0.0,209076
Bajaj Finance Ltd,55.91,19.16,12.92,0.07,11.75,0.17,890706
Bajaj Finserv Ltd,60.78,7.03,7.1,0.0,24.95,0.13,736596
Bharat Petroleum Corporation Ltd,52.98,12.57,22.59,0.94,10.61,0.32,858136
Bharti Airtel Ltd,55.02,20.97,19.78,0.12,4.05,0.05,758715
Britannia Industries Ltd,50.55,19.44,14.22,0.0,15.79,0.0,260207
Cipla Ltd,33.55,27.42,21.83,0.21,16.99,0.0,475293
Coal India Ltd,66.13,7.84,21.05,0.09,4.9,0.0,1324238
Divis Laboratories Ltd,51.94,14.67,21.0,0.07,12.31,0.0,433621
Dr Reddys Laboratories Ltd,26.69,27.25,23.05,0.0,22.78,0.22,232715
Eicher Motors Ltd,49.2,28.63,11.19,0.1,10.88,0.0,266168
Grasim Industries Ltd,42.75,12.45,16.82,0.0,27.69,0.3,247265
HCL Technologies Ltd,60.82,18.92,15.28,0.02,4.74,0.23,940079
HDFC Bank Ltd,25.59,32.24,28.09,0.16,13.91,0.0,2290092
HDFC Life Insurance Company Ltd,25.59,32.24,28.09,0.16,13.91,0.0,2290092
Hero MotoCorp Ltd,34.78,27.01,27.86,0.0,10.36,0.0,333054
Hindalco Industries Ltd,34.65,26.08,26.2,0.22,12.44,0.41,676110
Hindustan Unilever Ltd,61.9,14.36,11.51,0.04,12.17,0.0,1127982
ICICI Bank Ltd,0.0,44.16,45.11,0.24,0.0,10.48,1833994
IndusInd Bank Ltd,16.5,42.16,26.54,0.37,14.45,0.0,378303
Infosys Ltd,15.14,35.09,33.59,0.19,15.67,0.33,2801574
ITC Ltd,0.0,43.35,42.08,0.04,14.52,0.0,2930527
JSW Steel Ltd,45.41,26.01,9.47,0.51,18.07,0.53,605019
Kotak Mahindra Bank Ltd,25.95,39.42,21.31,0.0,13.3,0.0,582733
Larsen & Toubro Ltd,0.0,24.48,38.64,0.23,36.65,0.0,1425064
LTIMindtree Ltd,68.68,8.41,11.61,0.05,11.22,0.01,572545
Mahindra & Mahindra Ltd,19.37,39.24,27.66,0.07,9.81,3.85,647141
Maruti Suzuki India Ltd,56.48,21.11,18.57,0.06,3.78,0.0,415127
Nestle India Ltd,62.76,12.06,9.19,0.0,15.99,0.0,187365
NTPC Ltd,51.1,15.61,30.51,0.1,2.69,0.0,983606
Oil & Natural Gas Corpn Ltd,58.89,7.97,19.87,10.3,2.94,0.0,1548726
Power Grid Corporation of India Ltd,51.34,32.3,13.39,0.0,2.99,0.0,802619
Reliance Industries Ltd,50.41,22.49,16.06,0.16,10.89,0.0,3639396
SBI Life Insurance Company Ltd,55.45,25.14,15.09,0.0,4.34,0.0,374674
State Bank of India,57.49,9.89,25.2,0.03,7.4,0.0,2993298
Sun Pharmaceuticals Industries Ltd,54.48,16.88,19.18,0.06,9.38,0.0,625252
Tata Consultancy Services Ltd,72.3,12.72,9.58,0.05,5.36,0.0,2499384
Tata Consumer Products Ltd,34.44,25.04,15.85,0.01,24.65,0.0,819034
Tata Motors Ltd,46.39,15.34,17.69,0.14,20.41,0.0,3814831
Tata Steel Ltd,33.9,20.62,20.68,0.16,24.63,0.0,3644090
Tech Mahindra Ltd,35.17,26.87,25.68,0.17,12.07,0.0,936534
Titan Company Ltd,52.9,17.51,11.23,0.17,18.19,0.0,719167
UltraTech Cement Ltd,59.96,14.77,16.93,0.05,8.14,0.15,366437
UPL Ltd,32.34,38.69,14.39,0.0,14.54,0.0,253548
Wipro Ltd,72.92,6.38,8.01,0.0,12.51,0.18,2691329
